成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 门阀
妖星丨郭嘉, 133, 6746943, 0, 3937, 0, 8229337, 0, 3937, 0, 11300, 黄淮, 玄甲军
妖星丨子妍, 6, 20588433, 25116, 8980, 0, 23454987, 25116, 8980, 0, 17773, 黄淮, 玄甲军
渀雷剑丨天公, 8, 29245499, 19552, 10916, 0, 33529103, 19552, 10916, 0, 22786, 黄淮, 玄甲军
豪情丨萌新, 67, 15238326, 5412, 5871, 0, 18358941, 5412, 5871, 0, 15760, 黄淮, 玄甲军
玥汐, 136, 11791372, 792, 3984, 0, 12042991, 792, 3984, 0, 12942, 黄淮, 玄甲军
破阵丨关云长, 155, 7599110, 433, 1263, 0, 7643582, 433, 1263, 0, 13360, 黄淮, 乱世妖星
战歌丨烤鱼, 19, 39915937, 21215, 6982, 0, 45868926, 21215, 6982, 0, 27600, 黄淮, 乱世先锋
麒麟会丨铁錘, 14, 39325097, 23176, 1394, 0, 46117292, 23176, 1744, 0, 27310, 黄淮, 乱世妖星
羽林丨青虾, 1, 27236637, 39079, 13719, 0, 33104589, 39079, 13719, 0, 23670, 黄淮, 乱世先锋
李丨玄机, 41, 26092073, 9788, 8211, 0, 31713102, 9788, 8211, 0, 21850, 黄淮, 玄甲军
残剑丨义关羽, 13, 25854706, 10206, 14094, 0, 31749410, 10206, 14094, 0, 22460, 黄淮, 乱世妖星
诸葛亮来了, 5, 20538364, 5727, 45437, 0, 26245458, 5727, 45437, 0, 22253, 黄淮, 乱世先锋
雇佣军丨霓凰, 29, 19619165, 1971, 11560, 0, 25457272, 1971, 11560, 0, 21060, 黄淮, 乱世妖星
破阵丨张儁义, 194, 16384737, 0, 838, 0, 20042374, 0, 838, 0, 13113, 黄淮, 乱世妖星
玄甲军丨等闲, 44, 13813203, 9238, 5316, 0, 21478415, 9238, 5316, 0, 20850, 黄淮, 玄甲军
天璇l小小v, 87, 12362703, 208, 6187, 0, 13226207, 208, 6187, 0, 11552, 荆州, 乱世先锋
破阵丨定风波, 151, 1362110, 0, 2365, 0, 1377012, 0, 2365, 0, 4883, 荆州, 妖星
風雲丨歪果仁, 51, 36128288, 9567, 3997, 0, 41988316, 9567, 3997, 0, 24739, 黄淮, 玄甲军
割JJ, 9, 33921888, 34223, 6289, 0, 37998646, 34223, 6289, 0, 19442, 黄淮, 乱世妖星
秋雨忆微凉, 4, 33744182, 27617, 8215, 0, 40974343, 27617, 8215, 0, 23320, 黄淮, 乱世先锋
巅峰丨七愿, 18, 33608221, 16646, 7917, 0, 38484357, 16646, 7917, 0, 22363, 黄淮, 乱世先锋
光风霁月, 40, 31655069, 4267, 5041, 0, 35332720, 4267, 5041, 0, 21770, 黄淮, 乱世妖星
在下丨伯言, 2, 30963460, 54423, 4943, 0, 34857127, 54423, 4943, 0, 19500, 黄淮, 玄甲军
杜天宇, 156, 30751529, 0, 2010, 0, 32945273, 0, 2010, 0, 17180, 荆州, 乱世妖星
兵家丨苍狼, 53, 29517063, 3097, 11876, 0, 34052563, 3097, 11876, 0, 21620, 黄淮, 玄甲军
玄天丨与鹿, 3, 28559325, 42491, 6040, 0, 31862573, 42491, 6040, 0, 24500, 黄淮, 乱世先锋
景留, 65, 27503981, 7339, 3458, 0, 30312628, 7339, 3458, 0, 15410, 荆州, 乱世先锋
清风谋士, 38, 27257285, 10140, 8198, 0, 31365693, 10140, 8198, 0, 20599, 黄淮, 玄甲军
劁丨樵夫, 22, 27239053, 6559, 7632, 0, 31123533, 6559, 7632, 0, 24790, 黄淮, 玄甲军
東汉丨大鱼, 99, 25261638, 2757, 3124, 0, 29255103, 2757, 3124, 0, 15751, 黄淮, 乱世先锋
星伐丨斯元, 11, 25135825, 12443, 23205, 0, 29644693, 12443, 23205, 0, 14030, 黄淮, 玄甲军
悦妍, 170, 24513015, 0, 1419, 0, 26722686, 0, 1419, 0, 12890, 荆州, 乱世妖星
漢丨歌, 73, 24180394, 14, 5958, 0, 29589802, 14, 5958, 0, 17663, 黄淮, 乱世妖星
萧十三, 111, 23932038, 1876, 3771, 0, 26324275, 1876, 3771, 0, 13990, 荆州, 玄甲军
一步一安然, 21, 23162712, 942, 8411, 0, 23517732, 942, 8411, 0, 16860, 荆州, 玄甲军
东方琼思, 68, 22975245, 4288, 4272, 0, 27167208, 4288, 4272, 0, 17396, 黄淮, 乱世先锋
慕名丨孬娃, 23, 22948830, 6416, 12547, 0, 26946830, 6416, 12547, 0, 19910, 黄淮, 玄甲军
在下丨陆伯言, 61, 22422746, 1, 12124, 0, 25167483, 1, 12124, 0, 12420, 荆州, 妖星
乐知天命, 64, 21226512, 5332, 5875, 0, 23381122, 5332, 5875, 0, 16800, 荆州, 乱世先锋
战歌丨小都市, 93, 21106375, 50, 2590, 0, 21908126, 50, 2590, 0, 16100, 荆州, 乱世妖星
震威之君, 55, 20890543, 1782, 8644, 0, 24432065, 1782, 8644, 0, 15850, 黄淮, 乱世妖星
漢丨大鱼, 118, 20065828, 0, 3405, 0, 22856572, 0, 3405, 0, 13990, 荆州, 乱世先锋
红浪漫丨懒多, 76, 19823030, 8665, 1100, 0, 22739439, 8665, 1100, 0, 15320, 黄淮, 乱世妖星
逐月丨荒某人, 56, 19498839, 7356, 6979, 0, 23631987, 7356, 6979, 0, 18340, 黄淮, 玄甲军
无端风雨, 59, 19433620, 1964, 5298, 0, 22239523, 1964, 5298, 0, 13270, 黄淮, 乱世先锋
翎洛儿, 134, 19207325, 6, 3769, 0, 21029918, 6, 3769, 0, 13750, 荆州, 妖星
伊人花笑, 52, 19113133, 4457, 7952, 0, 21416371, 4457, 7952, 0, 13520, 荆州, 乱世先锋
云阁丨听轩, 28, 18969137, 3850, 11325, 0, 24092362, 3850, 11325, 0, 21440, 黄淮, 乱世妖星
四海丨景赛, 109, 18724364, 0, 5307, 0, 20267482, 0, 5307, 0, 17640, 荆州, 玄甲军
昭鸢妤山河, 46, 18680647, 8755, 7250, 0, 21830573, 8755, 7250, 0, 19610, 黄淮, 乱世先锋
靓仔丨无始, 243, 18576876, 0, 350, 0, 20692674, 0, 350, 0, 14870, 荆州, 玄甲军
丨嗨嗨嗨, 48, 18439175, 5, 12893, 0, 21127318, 5, 12893, 0, 17363, 黄淮, 乱世妖星
怀八荒, 60, 18307845, 3455, 9729, 0, 21211125, 3455, 9729, 0, 19059, 黄淮, 乱世先锋
扶我去网吧, 47, 18241791, 6223, 9265, 0, 20116631, 6223, 9265, 0, 18613, 黄淮, 乱世先锋
江南丨红豆, 24, 18235767, 19394, 6692, 0, 22341756, 19394, 6692, 0, 16360, 黄淮, 玄甲军
红狼丨恺歌, 31, 18217588, 0, 11504, 0, 20120946, 0, 11504, 0, 13878, 黄淮, 乱世妖星
请囫打扰, 132, 17526142, 803, 2948, 159313, 19862761, 803, 2948, 159313, 12600, 黄淮, 乱世先锋
凌雲丨天宇, 37, 17469332, 2772, 5799, 0, 19842656, 2772, 5799, 0, 14670, 荆州, 乱世妖星
昭昭颂桉, 36, 17255063, 4008, 15563, 0, 20229079, 4008, 15563, 0, 16316, 黄淮, 乱世先锋
史幔鼎, 34, 17115270, 1833, 11423, 0, 20352646, 1833, 11423, 0, 15072, 黄淮, 乱世妖星
北凉丨战天狼, 25, 17096860, 18015, 3214, 0, 20799299, 18015, 3214, 0, 14620, 黄淮, 乱世妖星
清风几许, 241, 16897624, 0, 0, 0, 18839957, 0, 0, 0, 13863, 荆州, 妖星
我去碰石头, 63, 16880352, 1432, 4811, 0, 19663008, 1432, 4811, 0, 8530, 荆州, 乱世先锋
天下总瓢把子, 233, 16420956, 0, 0, 0, 19323581, 0, 0, 0, 17140, 黄淮, 乱世妖星
卡卡灬, 30, 16365029, 8959, 9803, 0, 19817468, 8959, 9803, 0, 16865, 黄淮, 乱世妖星
破阵丨南风, 160, 16340432, 0, 2297, 0, 16576001, 0, 2297, 0, 14470, 荆州, 乱世妖星
寒梅点琼脂, 70, 16334130, 6836, 818, 0, 18292436, 6836, 818, 0, 16700, 黄淮, 妖星
姑苏松雨泽, 16, 16240639, 11690, 11047, 0, 19849348, 11690, 11047, 0, 16539, 黄淮, 玄甲军
虞鲡, 113, 16220627, 936, 4326, 0, 18418983, 936, 4326, 0, 15580, 荆州, 玄甲军
剑阁丨凌夜, 54, 16210218, 4734, 6845, 0, 18136826, 4734, 6845, 0, 14590, 荆州, 玄甲军
翎丨鲁西西, 10, 16005642, 16095, 14710, 0, 19059282, 16095, 14710, 0, 17180, 黄淮, 玄甲军
魔帝天龙, 117, 15922754, 0, 3731, 0, 18348395, 0, 3731, 0, 14990, 荆州, 乱世妖星
西海鹤川, 58, 15853936, 5601, 7799, 0, 18368315, 5601, 7799, 0, 10596, 黄淮, 玄甲军
玄羽丨大炮茂, 35, 15445165, 4133, 13759, 0, 19208034, 4133, 13759, 0, 15733, 黄淮, 玄甲军
疯人院丨院长, 178, 15247447, 0, 0, 0, 18443099, 0, 0, 0, 16160, 黄淮, 妖星
闲散人, 39, 14984092, 9054, 7995, 0, 18038450, 9054, 7995, 0, 15782, 黄淮, 乱世先锋
南宫协, 106, 14937600, 0, 4949, 0, 16337120, 0, 4949, 0, 14440, 荆州, 乱世妖星
王者vs农药, 94, 14636024, 46, 6223, 0, 17610209, 46, 6223, 0, 18623, 黄淮, 乱世先锋
明丨王戡, 107, 14506169, 761, 2457, 0, 15874810, 761, 2457, 0, 7646, 黄淮, 玄甲军
破阵丨王大锤, 27, 14486440, 3762, 10517, 0, 15749172, 3762, 10517, 0, 13070, 荆州, 乱世妖星
乱舞狂剑, 50, 14472523, 8656, 5066, 0, 14472523, 8656, 5066, 0, 12570, 荆州, 妖星
丨江雨年, 7, 14233481, 12881, 20070, 0, 17866441, 12881, 20070, 0, 13650, 黄淮, 玄甲军
云起丨阿飞, 124, 14194487, 801, 2834, 0, 15529498, 801, 2834, 0, 13710, 黄淮, 妖星
捞得一, 20, 14173950, 5077, 13122, 0, 17525891, 5077, 13122, 0, 13303, 荆州, 乱世先锋
荣原, 158, 14088344, 0, 2244, 0, 14088344, 0, 2244, 0, 14630, 荆州, 无门阀
翎丨皮皮鲁, 17, 13793144, 5585, 11648, 0, 16173998, 5585, 11648, 0, 14670, 黄淮, 玄甲军
东方乔儿, 104, 13628983, 0, 5065, 0, 14182015, 0, 5065, 0, 14720, 荆州, 乱世先锋
红星照四方, 101, 13517385, 8, 6186, 0, 15225121, 8, 6186, 0, 16260, 荆州, 乱世先锋
端木云斌, 49, 13204135, 0, 7234, 0, 16383347, 0, 7234, 0, 12970, 荆州, 乱世妖星
沭阳大哥大, 43, 12721024, 10601, 5292, 0, 14691418, 10601, 5292, 0, 14850, 黄淮, 乱世妖星
钟波涛, 72, 12683894, 0, 3577, 0, 12683894, 0, 3577, 0, 13610, 荆州, 妖星
理利贞, 112, 12609462, 159, 4276, 0, 15034982, 159, 4276, 0, 13290, 荆州, 乱世妖星
叶凌天, 177, 12602608, 0, 1872, 0, 15467490, 0, 1872, 0, 13343, 荆州, 乱世妖星
云大哥, 129, 12522674, 71, 3703, 0, 12931210, 71, 3703, 0, 10973, 黄淮, 妖星
大明丨守心, 62, 12491050, 6937, 5094, 0, 13983778, 6937, 5094, 0, 13623, 黄淮, 妖星
星期六, 128, 12417291, 0, 3759, 0, 12999691, 0, 3759, 0, 14353, 荆州, 无门阀
无双丨加多宝, 91, 12373296, 0, 5674, 0, 14898039, 0, 5674, 0, 13900, 荆州, 玄甲军
忘川丨永恒, 142, 12225150, 0, 2852, 0, 13034589, 0, 2852, 0, 12913, 荆州, 妖星
破阵丨张文远, 97, 12136067, 2, 3814, 0, 15938356, 2, 3814, 0, 13740, 黄淮, 乱世妖星
釨龍, 96, 12122484, 1828, 4303, 0, 13194349, 1828, 4303, 0, 13660, 黄淮, 玄甲军
我貂缠在哪里, 57, 11985168, 219, 13965, 0, 16433266, 219, 13965, 0, 15793, 黄淮, 乱世妖星
乱世丨斩魄刀, 165, 11971213, 0, 1638, 0, 13480239, 0, 1638, 0, 10736, 荆州, 妖星
乱世丨无痕, 45, 11965789, 5026, 11024, 0, 14267088, 5026, 11024, 0, 15995, 黄淮, 玄甲军
气氛I小帅, 224, 11723050, 0, 1400, 0, 13471245, 0, 1400, 0, 15870, 黄淮, 玄甲军
大漠之魂, 144, 11706650, 1615, 1228, 0, 13045790, 1615, 1228, 0, 15180, 荆州, 玄甲军
王家大郎, 126, 11674659, 576, 3989, 0, 13073183, 576, 3989, 0, 13563, 荆州, 妖星
清风酒鬼, 78, 11664138, 0, 5323, 0, 13114952, 0, 5323, 0, 13280, 荆州, 乱世先锋
鲜衣丨白板, 82, 11576863, 0, 4987, 0, 14418859, 0, 4987, 0, 13492, 荆州, 乱世妖星
鸭王, 123, 11531418, 3146, 350, 0, 12847570, 3146, 350, 0, 14460, 荆州, 玄甲军
段笑天, 89, 11358896, 766, 3285, 0, 13835722, 766, 3285, 0, 13790, 黄淮, 乱世妖星
翃槺, 15, 11263317, 11480, 8523, 0, 15933920, 11480, 8523, 0, 17463, 黄淮, 乱世先锋
戰灬狼烟, 188, 11151354, 0, 1062, 0, 12482319, 0, 1062, 0, 10283, 荆州, 乱世先锋
萝卜丨蒸蚌, 153, 11133091, 0, 350, 0, 12775420, 0, 350, 0, 14450, 荆州, 乱世妖星
一天龙一, 120, 11051244, 0, 4017, 0, 12661250, 0, 4017, 0, 11370, 荆州, 妖星
逆战士, 183, 11030995, 0, 1379, 0, 11756864, 0, 1379, 1116, 13102, 荆州, 乱世先锋
曌丨漂泊浪子, 80, 11009320, 453, 7304, 0, 12023364, 453, 7304, 0, 13120, 黄淮, 妖星
九方阳荣, 229, 10957506, 0, 700, 0, 11787051, 0, 700, 0, 6360, 荆州, 玄甲军
春秋丨秦穆公, 110, 10936193, 0, 4647, 0, 12845770, 0, 4647, 0, 13080, 荆州, 妖星
瀑乄流星, 74, 10800078, 10, 6406, 0, 12574818, 10, 6406, 0, 13516, 荆州, 妖星
顽主四哥, 172, 10764473, 0, 1668, 0, 13255463, 0, 1668, 0, 13713, 荆州, 乱世妖星
折子, 161, 10734909, 0, 1748, 0, 14574162, 0, 1748, 0, 13750, 荆州, 乱世妖星
牛妞丨吟風恋, 146, 10637613, 0, 3035, 0, 13022235, 0, 3035, 0, 13760, 荆州, 乱世先锋
凌云丨问君, 196, 10613703, 0, 0, 0, 11856524, 0, 0, 0, 12280, 黄淮, 无门阀
梵天丨青菜, 238, 10412311, 0, 0, 0, 10933817, 0, 0, 0, 13160, 荆州, 玄甲军
酒肆丨大力熊, 105, 10401180, 0, 5295, 0, 10657953, 0, 5295, 0, 10720, 荆州, 乱世先锋
娇郝运, 228, 10344645, 0, 700, 0, 11000928, 0, 700, 0, 6360, 荆州, 妖星
平平淡淡, 235, 10161426, 0, 1050, 0, 10764712, 0, 1050, 0, 12730, 黄淮, 无门阀
九方营, 130, 10157027, 0, 4116, 0, 11173570, 0, 4116, 0, 13173, 荆州, 妖星
夜雨听风, 169, 10113443, 0, 2002, 0, 10596084, 0, 2002, 0, 12823, 荆州, 无门阀
森林豹, 75, 10108051, 0, 8237, 0, 12073834, 0, 8237, 0, 14460, 荆州, 乱世妖星
破阵丨乐文谦, 152, 10007722, 951, 1767, 0, 10007722, 951, 1767, 0, 14450, 荆州, 乱世妖星
五指山的猴, 162, 9963319, 0, 1601, 0, 9963319, 0, 1601, 0, 13510, 荆州, 妖星
诸葛兴石, 164, 9824898, 0, 2050, 0, 10307462, 0, 2050, 0, 10760, 黄淮, 无门阀
紫宸丨景甜, 32, 9817104, 1028, 19399, 0, 12477055, 1028, 19399, 0, 11860, 荆州, 乱世先锋
破阵丨赵子龙, 147, 9769967, 923, 1650, 0, 9819025, 923, 1650, 0, 14460, 荆州, 乱世妖星
四书五经, 148, 9709006, 1019, 1330, 0, 13339336, 1019, 1330, 0, 11220, 荆州, 乱世先锋
成公若南, 79, 9663403, 0, 6426, 0, 12961939, 0, 6426, 0, 15000, 荆州, 乱世先锋
红狼丨逆天行, 135, 9508298, 0, 3762, 0, 9508298, 0, 3762, 0, 8520, 荆州, 妖星
陕A丨大橙子, 115, 9402428, 0, 4764, 0, 9775200, 0, 4764, 0, 9593, 荆州, 乱世先锋
朝圣耕田人, 71, 9360768, 585, 5383, 0, 10259172, 585, 5383, 0, 12970, 荆州, 乱世先锋
缪亭, 122, 9359183, 888, 3859, 0, 10728850, 888, 3859, 0, 9345, 荆州, 无门阀
玄甲军丨剑心, 240, 9342355, 0, 350, 0, 9342355, 0, 350, 0, 8530, 荆州, 乱世先锋
采荷酱, 145, 9324633, 83, 2351, 0, 10829958, 83, 2351, 0, 9540, 荆州, 乱世妖星
庞藏, 69, 9262512, 592, 9789, 0, 10669824, 592, 9789, 0, 12850, 荆州, 妖星
破阵丨黄汉升, 143, 8942998, 920, 1173, 0, 8988355, 920, 1173, 0, 13360, 黄淮, 乱世妖星
南野鸿熙, 173, 8930349, 0, 1234, 0, 9135402, 0, 1234, 0, 10726, 荆州, 无门阀
秦丨不才, 83, 8740552, 6522, 1471, 0, 10165533, 6522, 1471, 0, 9990, 黄淮, 妖星
涼森玲夢想家, 98, 8605930, 0, 4477, 0, 12493651, 0, 4477, 0, 11210, 荆州, 乱世妖星
風華丨百里, 12, 8597797, 9876, 13956, 0, 10755773, 9876, 13956, 0, 9343, 黄淮, 玄甲军
太史英勋, 139, 8451367, 854, 2216, 0, 10124269, 854, 2216, 0, 11884, 黄淮, 妖星
司马穰苴, 103, 8324732, 0, 5304, 0, 8790437, 0, 5304, 0, 9023, 荆州, 无门阀
娇好运, 247, 8304701, 0, 350, 0, 8850747, 0, 350, 0, 5600, 荆州, 妖星
妖星丨烟雨, 184, 8136279, 0, 2167, 0, 8698080, 0, 2167, 0, 10600, 荆州, 妖星
远离乱世, 100, 8109138, 0, 757, 0, 9035873, 0, 757, 0, 10988, 荆州, 玄甲军
鲍高明, 131, 7924230, 0, 2653, 0, 10807377, 0, 2653, 0, 8640, 荆州, 玄甲军
杰瑞没了, 86, 7916752, 22, 5226, 0, 9857493, 22, 5226, 0, 12057, 荆州, 乱世妖星
赵邶, 81, 7883669, 0, 6868, 0, 12277780, 0, 6868, 0, 13060, 荆州, 乱世妖星
冬眠川, 85, 7836522, 933, 4515, 0, 10083051, 933, 4515, 0, 12356, 荆州, 乱世先锋
就这个了, 220, 7763135, 0, 350, 0, 8834894, 0, 350, 0, 7199, 荆州, 无门阀
忘川丨吾悅, 121, 7569806, 0, 4042, 0, 8039827, 0, 4042, 0, 10913, 荆州, 妖星
九章丨梅子酒, 203, 7564512, 0, 338, 0, 8627595, 0, 338, 0, 11000, 荆州, 玄甲军
雲丨化骨龙, 108, 7541083, 0, 5059, 0, 8057990, 0, 5059, 0, 10935, 荆州, 无门阀
遇见丨蓝采和, 119, 7483515, 1361, 2749, 0, 9307881, 1361, 2749, 0, 10920, 黄淮, 妖星
云起丨抗揍, 114, 7441751, 0, 5127, 0, 11441677, 0, 5127, 0, 11230, 荆州, 玄甲军
君临丨洪, 137, 7296226, 0, 3733, 0, 8904734, 0, 3733, 0, 12353, 荆州, 乱世先锋
炁丨无根生, 154, 7127296, 0, 2194, 0, 7579430, 0, 2194, 0, 7910, 黄淮, 无门阀
秦丨张飞, 197, 7083245, 445, 350, 0, 9024693, 445, 350, 0, 11850, 荆州, 妖星
风逍遥, 42, 7042416, 1490, 12528, 0, 8538991, 1490, 12528, 0, 9763, 黄淮, 乱世先锋
青衫丨逍遥, 140, 6955658, 1268, 1400, 737156, 8758708, 1268, 1400, 737156, 11100, 荆州, 妖星
破阵丨马孟起, 159, 6859074, 294, 1466, 0, 6892593, 294, 1466, 0, 13633, 荆州, 乱世妖星
白生气, 92, 6504474, 3169, 3854, 0, 6984329, 3169, 3854, 0, 9543, 黄淮, 乱世先锋
泥鳅狂龙帅, 90, 6468170, 0, 6351, 0, 9141768, 0, 6351, 0, 10023, 荆州, 玄甲军
國风l發財, 213, 6427798, 0, 1151, 0, 6486483, 0, 1151, 0, 12300, 荆州, 无门阀
國风l五粮液, 190, 6146457, 0, 1011, 0, 6146457, 0, 1011, 0, 11910, 荆州, 无门阀
